feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,shortest_path_length,simple_path_length,Novel/Interesting?,Makes Sense?,COMMENTS
NKX2-3,NKX2-3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
PALM2AKAP2,PALM2AKAP2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FTO,FTO,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
ABO,ABO,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
PPP1R3B,PPP1R3B,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
UGT1A6,UGT1A6,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
UGT1A10,UGT1A10,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
UGT1A9,UGT1A9,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
TMBIM1,TMBIM1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
PTPN3,PTPN3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
GJA10,GJA10,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
GJA10,GJA10,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
PNKD,PNKD,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
EPHA2,EPHA2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
UGT1A7,UGT1A7,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
NEIL2,NEIL2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
DCLK2,DCLK2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
UGT1A8,UGT1A8,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
MAL2,MAL2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FADS2,FADS2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
CELF4,CELF4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FADS1,FADS1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FCHO2,FCHO2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SLC25A28,SLC25A28,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
NARS1,NARS1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
UGT1A4,UGT1A4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
KDELR2,KDELR2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
MAMSTR,MAMSTR,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
GPBAR1,GPBAR1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
KDELR3,KDELR3,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
NFAT5,NFAT5,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
GATA4,GATA4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FUT6,FUT6,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
AHDC1,AHDC1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
CRX,CRX,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
NSD1,NSD1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
C12orf43,C12orf43,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
AAMP,AAMP,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
KLB,KLB,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SKIDA1,SKIDA1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
RAC1,RAC1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
IRF2BP1,IRF2BP1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
GAPDHS,GAPDHS,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
MLXIPL,MLXIPL,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
ATP4A,ATP4A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
TNRC6B,TNRC6B,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
ARHGEF19,ARHGEF19,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
MLLT10,MLLT10,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
MUC5AC,MUC5AC,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
DEFB135,DEFB135,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
RPGRIP1L,RPGRIP1L,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
CFAP418,CFAP418,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FDFT1,FDFT1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
TNKS,TNKS,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
FAM227A,FAM227A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
UQCRB,UQCRB,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
OPRM1,OPRM1,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
HTR3A,HTR3A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
NR1H4,NR1H4,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN7A,SCN7A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN8A,SCN8A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN4A,SCN4A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN3A,SCN3A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN1A,SCN1A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN2A,SCN2A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN10A,SCN10A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN9A,SCN9A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN11A,SCN11A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
SCN5A,SCN5A,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
PLEKHH2,PLEKHH2,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
MRGBP,MRGBP,,,,,,,,,(Cholelithiasis) OR (Gallbladder disease),,,,,,
